primary,target_mode,lead,model,pooled_test_accuracy,sharpe,ann_return,max_drawdown,sortino,hit_rate,pct_traded,n_oos_days
EUR/USD,binary,10,"Logistic (sklearn, on global PCA)",0.5202380952380953,0.7171426080748121,0.1395957336034772,-0.4739984217194092,1.3153486408373565,0.5186522262334536,0.9892857142857143,840.0
EUR/USD,binary,10,Ensemble (weighted train acc),0.513095238095238,0.7028506646915068,0.13636440596568722,-0.4319674936037081,1.2045109802195049,0.5152253349573691,0.9773809523809524,840.0
EUR/USD,binary,10,XGBoost,0.5071428571428571,0.5470622151422742,0.1049599772233647,-0.471621143073931,0.9023231602736411,0.5083732057416268,0.9952380952380953,840.0
EUR/USD,binary,10,Gradient boosting (sklearn),0.5214285714285715,0.4801957382171025,0.09146090256768136,-0.557835399199435,0.7807050346036415,0.5215311004784688,0.9952380952380953,840.0
EUR/USD,binary,10,SVM (RBF),0.5416666666666666,0.401631549242537,0.07573976656179648,-0.5609238456636905,0.5290132191365483,0.5411622276029056,0.9833333333333333,840.0
EUR/USD,binary,10,MLP neural net,0.5321428571428571,0.3077526899255777,0.056183076753201666,-0.614251405768213,0.40359042881497237,0.5348258706467661,0.9571428571428572,840.0
EUR/USD,binary,10,Random forest,0.5095238095238095,0.11211387416411421,0.02055853002084662,-0.5309738779878009,0.17057040557692824,0.5066666666666667,0.9821428571428571,840.0
EUR/USD,ternary,1,Ensemble (weighted train acc),0.8666666666666667,0.5683985600588052,0.0010831842451308749,0.0,,1.0,0.001282051282051282,780.0
EUR/USD,ternary,1,Ensemble (mean proba),0.8653846153846154,0.5683985600588052,0.0010831842451308749,0.0,,1.0,0.001282051282051282,780.0
EUR/USD,ternary,1,"MNLogit (statsmodels, PCA)",0.8256410256410256,0.22411991676622572,0.0027007974155712766,-0.012626425546433118,0.09422785820943896,0.5,0.05384615384615385,780.0
EUR/USD,ternary,1,Gradient boosting (sklearn),0.7935897435897435,0.11752946738436489,0.0017910120890141101,-0.014954450212349313,0.052574829232874015,0.5138888888888888,0.09230769230769231,780.0
EUR/USD,ternary,1,Hist gradient boosting,0.8256410256410256,-0.22797329395710644,-0.0023429399624249614,-0.024688643791943243,-0.08328431174127746,0.46153846153846156,0.05,780.0
EUR/USD,ternary,1,"Logistic (sklearn, on global PCA)",0.4807692307692308,-0.34128233400952646,-0.010698904008217602,-0.07020881384661692,-0.33754127104645243,0.46439628482972134,0.41410256410256413,780.0
EUR/USD,ternary,1,XGBoost,0.8538461538461538,-0.6457512639095168,-0.0029565327494607274,-0.011367581860750042,-0.12804895503193875,0.4444444444444444,0.011538461538461539,780.0
EUR/USD,ternary,1,Random forest,0.867948717948718,,0.0,0.0,,,0.0,780.0
EUR/USD,ternary,1,MLP neural net,0.8666666666666667,,0.0,0.0,,,0.0,780.0
EUR/USD,ternary,1,SVM (RBF),0.867948717948718,,0.0,0.0,,,0.0,780.0
EUR/USD,ternary,2,XGBoost,0.625,-0.32711872504181727,-0.011577029873151012,-0.13441338295349559,-0.19948405730872096,0.5111111111111111,0.16071428571428573,840.0
EUR/USD,ternary,2,Hist gradient boosting,0.5630952380952381,-0.43161567591638533,-0.022655768155925515,-0.139121261278211,-0.3115685642329895,0.49407114624505927,0.3011904761904762,840.0
EUR/USD,ternary,2,SVM (RBF),0.7119047619047619,-0.547722557505166,-0.0024964406074805545,-0.008331831715876703,,0.0,0.0011904761904761906,840.0
EUR/USD,ternary,2,MLP neural net,0.7095238095238096,-0.5477225575051663,-0.002409070568346494,-0.00803988501616959,,0.0,0.0011904761904761906,840.0
EUR/USD,ternary,2,"MNLogit (statsmodels, PCA)",0.5845238095238096,-0.6999650089023935,-0.0340749343089608,-0.16519424193521648,-0.4338169809905057,0.5217391304347826,0.24642857142857144,840.0
EUR/USD,ternary,2,"Logistic (sklearn, on global PCA)",0.3464285714285714,-1.0237501758379115,-0.06049457771425082,-0.2880315613558785,-0.9516079063407639,0.49414519906323184,0.5083333333333333,840.0
